id,mural_title,school_name,borough,neighborhood,lat,lng,year,artist_names,students_involved,image_url,detail_url
385,IS 117 Joseph H. Wade: Wild and Powerful,IS 117 Joseph H. Wade,Bronx,Mount Hope,40.8483325,-73.9104906,2023,"Nico Collazo, Ashley Crawford, Merari Hernandez, Gloria Zapata",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/06/117-feature-2023.jpeg?fit=1920%2C887&ssl=1,https://www.thrivecollective.org/portfolio/wild-and-powerful/
386,Judith S. Kaye High School: Roadmap to JSK,Judith S. Kaye High School,Manhattan,El Barrio,40.6837136,-73.8007697,2023,Chey Nelson,,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/06/jsk-banner.jpeg?fit=1678%2C520&ssl=1,https://www.thrivecollective.org/portfolio/roadmap/
387,Brooklyn Nets: Girl Power,Barclays Center,Brooklyn,Prospect Heights,40.6826465,-73.9754156,2023,"Michela ""Miki Mu"" Muserra",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/05/girl-power-header-scaled.jpeg?fit=1920%2C873&ssl=1,https://www.thrivecollective.org/portfolio/girl-power/
388,LRYOH: Winter Wonderland,Living Redemption Youth Opportunity Hub,Manhattan,Harlem,40.8095563,-73.9522846,2023,Plushie,,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/09/ps171q-auditorium-part2-gratitude.jpeg?resize=560%2C560&ssl=1,https://www.thrivecollective.org/portfolio/winter-wonderland/
389,Frederick Douglass Academy V. Middle School and P.S. 057 Crescent: Larger than Life,Frederick Douglass Academy V. Middle School and P.S. 057 Crescent,Bronx,Tremont,40.8487538,-73.888785,2023,"Ashley Crawford, Kenneth Tooley, Gloria Zapata, Andrea Amanda, Tierra, May Bukowski, Lola Lovenotes, Kadeem Phillip, Will DeNatale, Pelumi Ayeni, Sydney Tirado",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/08/rtg-north-feature2.jpeg?resize=560%2C560&ssl=1,https://www.thrivecollective.org/portfolio/larger-than-life/
390,Art Basel: Rat & Pigeon Chillin' in Miami,Art Basel Miami 2022 / Shop 1Culture (Wynwood),Miami,Wynwood,25.804285,-80.199944,2022,Michela Muserra,,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/10/full-scaled.jpeg?fit=1920%2C1437&ssl=1,https://www.thrivecollective.org/portfolio/art-basel/
391,John Jay Pershing MS 220: Be Your Own Superhero,John Jay Pershing MS 220,Brooklyn,Sunset Park,40.6407804,-74.0009541,2023,Peach Tao,,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/08/liberty-history-made-feature.jpeg?resize=560%2C560&ssl=1,https://www.thrivecollective.org/portfolio/ms220-superhero/
392,Brooklyn Nets: Be Your own Superhero,John Jay Pershing Middle School,Brooklyn,Sunset Park,40.6407804,-74.0009541,2022,Peach Tao,,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2024/01/daze-superhero-feature-scaled-e1705529870607.jpeg?fit=1920%2C1005&ssl=1,https://www.thrivecollective.org/portfolio/superhero/
393,CHARAS/El Bohio Community Center: El Bohio Murals,abandoned school building,Manhattan,Lower East Side,40.7224446,-73.9903948,2023,Cram Concepts,,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/05/Panorama-before.png?fit=7223%2C1262&ssl=1,https://www.thrivecollective.org/portfolio/el-bohio-murals-1/
394,CHARAS/El Bohio Community Center: El Bohio Murals,abandoned school building,Manhattan,Lower East Side,40.7224446,-73.9903948,2023,Jodi Dareal,,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/05/Panorama-before.png?fit=7223%2C1262&ssl=1,https://www.thrivecollective.org/portfolio/el-bohio-murals-2/
